,0
1050,0.260968
1051,0.272939
1052,-0.7517793
1053,-0.4692635
1054,0.9337386
1055,0.914585
1056,0.1747767
1057,0.1149217
1058,0.8188169
1059,1.695095
1060,1.714248
1061,0.2418144
1062,-0.2106898
1063,0.7685388
1064,1.51553
1065,-0.5554548
1066,-0.9864111
1067,-0.2082956
1068,0.926556
1069,1.400608
1070,0.770933
1071,-0.2274492
1072,0.1843535
1073,1.137246
1074,0.9528923
1075,-0.3064578
1076,-0.8738836
1077,0.225055
1078,0.9648633
1079,0.8595184
1080,-0.6272808
1081,0.3591303
1082,0.4501099
1083,-0.1987187
1084,-1.719037
1085,-2.260126
1086,1.010353
1087,1.525106
1088,0.296881
1089,-1.295263
1090,-1.345541
1091,-0.7038953
1092,0.3902549
1093,0.1244985
1094,-0.9050082
1095,-1.233014
1096,-0.237026
1097,0.5243302
1098,-0.6248866
1099,-1.891419
1100,-2.059013
1101,-0.4740519
1102,-0.4884171
1103,-1.041478
1104,-1.886631
1105,-2.149993
1106,-0.4189853
1107,-0.1556231
1108,-1.084573
1109,-1.776498
1110,-1.338359
1111,0.6967127
1112,0.8116343
1113,0.1771709
1114,-0.5793968
1115,-0.6967127
1116,1.079785
1117,0.6153098
1118,-0.7637503
1119,-1.908179
1120,-1.697489
1121,0.08619126
1122,0.3926491
1123,0.1101333
1124,-0.5482722
1125,-1.180341
1126,-1.596933
1127,-0.4022259
1128,0.5315128
1129,0.7517793
1130,0.3591303
1131,0.28491
1132,1.053449
1133,0.9624691
1134,0.4525041
1135,0.4836287
1136,0.9840169
1137,0.4788404
1138,0.4094085
1139,0.4668693
1140,0.3112462
1141,0.1029507
1142,0.5626374
1143,0.7685388
1144,-0.4572925
1145,-0.770933
1146,-0.2777274
1147,0.3375824
1148,0.5123591
1149,0.2561796
1150,0.7757214
1151,0.85473
1152,0.332794
1153,0.4453215
1154,1.161188
1155,1.714248
1156,1.752556
1157,0.5961562
1158,0.2537854
1159,0.1747767
1160,0.4860229
1161,0.8643068
1162,0.7685388
1163,-0.3543419
1164,-0.2298434
1165,-0.2178724
1166,-0.5099649
1167,-0.7972692
1168,-0.5746084
1169,0.320823
1170,0.6823475
1171,0.5865794
1172,-0.8331822
1173,-0.2082956
1174,0.7613561
1175,0.8355764
1176,0.08619126
1177,0.3615245
1178,0.6344634
1179,0.1101333
1180,-0.7134721
1181,-0.6009446
1182,-0.3567361
1183,-0.7350199
1184,-0.3974375
1185,-0.4692635
1186,-0.7206547
1187,-1.154005
1188,-0.6320692
1189,-0.3519476
1190,-0.272939
1191,-0.4501099
1192,-0.1460463
1193,0.1412579
1194,-0.2442086
1195,-0.3016694
1196,-0.6153098
1197,-0.6105214
1198,-0.4333505
1199,0.09816227
1200,-0.5171475
1201,-0.6392518
1202,-0.7038953
1203,-0.5482722
1204,0.09097966
1205,-0.1580173
1206,-0.4357447
1207,-0.1532289
1208,0.5075707
1209,0.4501099
1210,0.2274492
1211,0.2513912
1212,0.5291186
1213,0.2992752
1214,0.2274492
1215,-0.3136404
1216,-0.3854665
1217,0.1412579
1218,0.6248866
1219,0.6009446
1220,-0.272939
1221,-0.5123591
1222,-0.4261679
1223,-0.4165911
1224,-0.4333505
1225,-0.3878607
1226,0.1484405
1227,0.1436521
1228,-0.213084
1229,-0.2992752
1230,0.3591303
1231,0.593762
1232,0.4548983
1233,0.308852
1234,0.4955997
1235,0.1628057
1236,0.2298434
1237,0.2442086
1238,0.2178724
1239,0.4165911
1240,0.4165911
1241,0.1675941
1242,-0.2944868
1243,-0.1436521
1244,-0.1843535
1245,0.08140286
1246,0.1412579
1247,-0.2202666
1248,-0.545878
1249,-0.2442086
1250,-0.2561796
1251,-0.5075707
1252,0.3375824
1253,0.5051765
1254,0.3878607
1255,0.2633622
1256,0.1436521
1257,0.2896984
1258,0.2226608
1259,0.4740519
1260,0.5674258
1261,0.3806781
1262,0.28491
1263,0.3806781
1264,0.3280056
1265,-0.308852
1266,0.1915361
1267,-0.2322376
1268,-0.1580173
1269,-0.2394202
1270,-0.1939303
1271,-0.5195417
1272,-0.4357447
1273,-0.3303998
1274,-0.3375824
1275,-0.3519476
1276,0.2154782
1277,0.1197101
1278,-0.5722142
1279,-0.4405331
1280,-0.2705448
1281,-0.2633622
1282,-0.3303998
1283,-0.2513912
1284,-0.4381389
1285,-0.1867477
1286,-0.2896984
1287,-0.1819593
1288,-0.3639187
1289,-0.5961562
1290,-0.5051765
1291,0.1532289
1292,-0.1891419
1293,-0.4812346
1294,0.08619126
1295,0.2082956
1296,0.308852
1297,0.3256114
1298,-0.3423708
1299,-0.2585738
1300,0.3878607
1301,0.842759
1302,0.5602432
1303,-0.3136404
1304,-0.1723825
1305,0.1292869
1306,-0.2226608
1307,-0.1436521
1308,-0.1915361
1309,0.237026
1310,0.3040636
1311,-0.1604115
1312,0.1244985
1313,0.1628057
1314,0.1244985
1315,0.3950433
1316,0.2346318
1317,-0.3782839
1318,-0.4429273
1319,0.2178724
1320,0.4022259
1321,-0.3112462
1322,-0.8044518
1323,-0.7015011
1324,0.6248866
1325,0.4022259
1326,-0.2633622
1327,-0.4141969
1328,-0.2226608
1329,-0.2202666
1330,0.1963245
1331,0.1364695
1332,-0.1436521
1333,-0.2537854
1334,-0.1675941
1335,0.260968
1336,0.6105214
1337,0.1723825
1338,0.2274492
1339,0.2442086
1340,0.2633622
1341,0.1125275
1342,0.1340753
1343,0.09337386
1344,-0.1651999
1345,-0.1675941
1346,0.09337386
1347,0.272939
1348,0.2418144
1349,-0.2298434
1350,-0.28491
1351,-0.1795651
1352,-0.2681506
1353,-0.2825158
1354,-0.1939303
1355,-0.2920926
1356,-0.4788404
1357,-0.533907
1358,-0.4955997
1359,-0.4070143
1360,-0.2082956
1361,-0.1915361
1362,-0.1939303
1363,-0.2394202
1364,-0.1891419
1365,-0.296881
1366,-0.5267244
1367,-0.5243302
1368,-0.2753332
1369,-0.1508347
1370,-0.2178724
1371,-0.1460463
1372,0.1053449
1373,0.08379706
1374,0.1077391
1375,0.1843535
1376,0.1651999
1377,0.1460463
1378,0.2346318
